case,node,type,fingerprint,structure
seventeenth_share,672,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-145;within5=no
seventeenth_share,693,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-124;within5=no
seventeenth_share,715,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-102;within5=no
seventeenth_share,716,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-101;within5=no
seventeenth_share,759,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-58;within5=no
seventeenth_share,760,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-57;within5=no
seventeenth_share,777,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-40;within5=no
seventeenth_share,778,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-39;within5=no
seventeenth_share,785,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-32;within5=no
seventeenth_share,786,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-31;within5=no
seventeenth_share,818,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=817;delta=+1;within5=yes
seventeenth_share,867,Name Correction,N1_RENENUTET_TO_OSIRIS_EXACT_ARTIFACT,user-pasted addendum withdraws Renenutet and amends symbolic position to Osiris; audited_seam=913;delta=-46;within5=no
seventeenth_share,915,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=913;delta=+2;within5=yes
tenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=53;delta=-51;within5=no
tenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=53;delta=-48;within5=no
tenth_share,55,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=53;delta=+2;within5=yes
tenth_share,124,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=53;delta=+71;within5=no
tenth_share,359,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=53;delta=+306;within5=no
tenth_share,360,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=53;delta=+307;within5=no
tenth_share,540,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=53;delta=+487;within5=no
tenth_share,541,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=53;delta=+488;within5=no
tenth_share,640,Redaction/trace failure,R6_ASSISTANT_CODE_REDACTED_EXACT,assistant code record -> is_redacted=true -> exact code-redaction placeholder; audited_seam=53;delta=+587;within5=no
tenth_share,641,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=53;delta=+588;within5=no
tenth_share,674,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=53;delta=+621;within5=no
seventh_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=439;delta=-437;within5=no
seventh_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=439;delta=-434;within5=no
seventh_share,62,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=439;delta=-377;within5=no
seventh_share,441,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=439;delta=+2;within5=yes
seventh_share,514,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=439;delta=+75;within5=no
seventh_share,515,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=439;delta=+76;within5=no
seventh_share,547,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=439;delta=+108;within5=no
seventh_share,548,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=439;delta=+109;within5=no
seventh_share,672,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=684;delta=-12;within5=no
seventh_share,673,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=684;delta=-11;within5=no
seventh_share,686,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=684;delta=+2;within5=yes
seventh_share,739,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=737;delta=+2;within5=yes
seventh_share,770,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=768;delta=+2;within5=yes
seventh_share,831,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=829;delta=+2;within5=yes
seventh_share,876,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=829;delta=+47;within5=no
seventh_share,924,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=829;delta=+95;within5=no
seventh_share,925,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=829;delta=+96;within5=no
seventh_share,993,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=829;delta=+164;within5=no
seventh_share,1018,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=829;delta=+189;within5=no
seventh_share,1019,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=829;delta=+190;within5=no
seventh_share,1158,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-176;within5=no
seventh_share,1159,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-175;within5=no
seventh_share,1178,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-156;within5=no
seventh_share,1179,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-155;within5=no
seventh_share,1208,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-126;within5=no
seventh_share,1209,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-125;within5=no
seventh_share,1228,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-106;within5=no
seventh_share,1231,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-103;within5=no
seventh_share,1269,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-65;within5=no
seventh_share,1270,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1334;delta=-64;within5=no
seventh_share,1336,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=1334;delta=+2;within5=yes
seventh_share,1832,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1990;delta=-158;within5=no
seventh_share,1833,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1990;delta=-157;within5=no
seventh_share,1861,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1990;delta=-129;within5=no
seventh_share,1862,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1990;delta=-128;within5=no
seventh_share,1992,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=1990;delta=+2;within5=yes
seventh_share,2069,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=2067;delta=+2;within5=yes
seventh_share,2231,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=2230;delta=+1;within5=yes
seventh_share,2596,Redaction/trace failure,R6_ASSISTANT_CODE_REDACTED_EXACT,assistant code record -> is_redacted=true -> exact code-redaction placeholder; audited_seam=2230;delta=+366;within5=no
seventh_share,2597,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+367;within5=no
seventh_share,2603,Redaction/trace failure,R6_ASSISTANT_CODE_REDACTED_EXACT,assistant code record -> is_redacted=true -> exact code-redaction placeholder; audited_seam=2230;delta=+373;within5=no
seventh_share,2604,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+374;within5=no
seventh_share,2861,Date/Status Fix,D2_CORE_HELD_DATE_STATUS_NARROWED,core event retained -> poster date marked off and needing correction; audited_seam=2230;delta=+631;within5=no
seventh_share,2874,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+644;within5=no
seventh_share,2875,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+645;within5=no
seventh_share,2893,Date/Status Fix,D4_MOVING_STATUS_VALUE_FIX,fixed cost/status claim -> current record characterized as moving/fuzzy; audited_seam=2230;delta=+663;within5=no
seventh_share,2901,Date/Status Fix,D5_OBJECT_STATUS_CORRECTION,ongoing/court framing -> object status corrected to already demolished; audited_seam=2230;delta=+671;within5=no
seventh_share,2936,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+706;within5=no
seventh_share,2937,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+707;within5=no
seventh_share,3005,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+775;within5=no
seventh_share,3006,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+776;within5=no
seventh_share,3010,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+780;within5=no
seventh_share,3011,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=2230;delta=+781;within5=no
fifth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=208;delta=-206;within5=no
fifth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=208;delta=-203;within5=no
fifth_share,210,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=208;delta=+2;within5=yes
fifth_share,514,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=656;delta=-142;within5=no
fifth_share,515,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=656;delta=-141;within5=no
fifth_share,658,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=656;delta=+2;within5=yes
fourth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=601;delta=-599;within5=no
fourth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=601;delta=-596;within5=no
fourth_share,231,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-370;within5=no
fourth_share,232,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-369;within5=no
fourth_share,264,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-337;within5=no
fourth_share,265,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-336;within5=no
fourth_share,332,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-269;within5=no
fourth_share,333,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-268;within5=no
fourth_share,359,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-242;within5=no
fourth_share,360,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=601;delta=-241;within5=no
fourth_share,363,Redaction/trace failure,R3_CHECK_CLAIM_REDACTED_TOOL_W20,assistant asserts checked/looked/ran -> tool node within +/-20 -> result unreadable/redacted; audited_seam=601;delta=-238;within5=no
fourth_share,603,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=601;delta=+2;within5=yes
fourth_share,746,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=744;delta=+2;within5=yes
fourth_share,756,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=754;delta=+2;within5=yes
fourth_share,1347,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=754;delta=+593;within5=no
fourth_share,1369,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=754;delta=+615;within5=no
sixth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=557;delta=-555;within5=no
sixth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=557;delta=-552;within5=no
sixth_share,559,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=557;delta=+2;within5=yes
first_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=459;delta=-457;within5=no
first_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=459;delta=-454;within5=no
first_share,461,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=459;delta=+2;within5=yes
first_share,479,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=459;delta=+20;within5=no
first_share,480,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=459;delta=+21;within5=no
third_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=724;delta=-722;within5=no
third_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=724;delta=-719;within5=no
third_share,31,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=724;delta=-693;within5=no
third_share,32,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=724;delta=-692;within5=no
third_share,726,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=724;delta=+2;within5=yes
twentysecond_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=658;delta=-656;within5=no
twentysecond_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=658;delta=-653;within5=no
twentysecond_share,44,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=-614;within5=no
twentysecond_share,45,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=-613;within5=no
twentysecond_share,160,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=-498;within5=no
twentysecond_share,161,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=-497;within5=no
twentysecond_share,388,Name Correction,N3_PRIOR_MEMORY_REFERENT_MISBINDING_CORRECTED,assistant binds Zeus to prior dog memory -> user challenges local context -> assistant restores unknown referent; audited_seam=658;delta=-270;within5=no
twentysecond_share,415,Name Correction,N1_RENENUTET_TO_OSIRIS_EXACT_ARTIFACT,user-pasted addendum withdraws Renenutet and amends symbolic position to Osiris; audited_seam=658;delta=-243;within5=no
twentysecond_share,660,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=658;delta=+2;within5=yes
twentysecond_share,684,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+26;within5=no
twentysecond_share,685,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+27;within5=no
twentysecond_share,714,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+56;within5=no
twentysecond_share,715,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+57;within5=no
twentysecond_share,746,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+88;within5=no
twentysecond_share,1108,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+450;within5=no
twentysecond_share,1109,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+451;within5=no
twentysecond_share,1122,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+464;within5=no
twentysecond_share,1123,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+465;within5=no
twentysecond_share,1460,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+802;within5=no
twentysecond_share,1461,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=658;delta=+803;within5=no
twentythird_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=760;delta=-758;within5=no
twentythird_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=760;delta=-755;within5=no
twentythird_share,62,Name Correction,N1_RENENUTET_TO_OSIRIS_EXACT_ARTIFACT,user-pasted addendum withdraws Renenutet and amends symbolic position to Osiris; audited_seam=760;delta=-698;within5=no
twentythird_share,762,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=760;delta=+2;within5=yes
